source_ip dest_ip dest_port BLOCK/ALLOW
0.0.0.0/0                10.55.163.0/24              ALL                     BLOCK
10.55.54.192/26          10.55.163.141               3475/tcp                ALLOW
10.55.54.192/26          10.55.163.141               3479/tcp                ALLOW
10.117.179.142/32        10.55.163.141               3488/tcp                ALLOW
10.117.179.155/32        10.55.163.141               3488/tcp                ALLOW
145.31.254.29/32         10.55.163.141               3490/tcp                ALLOW
145.31.254.105/32        10.55.163.141               3491/tcp                ALLOW
145.31.254.138/32        10.55.163.141               3491/tcp                ALLOW
35.205.122.156/32        10.55.163.141               3492/tcp                ALLOW
145.31.255.1/32          10.55.163.141               3493/tcp                ALLOW
10.0.23.90/32            10.55.163.141               3495/tcp                ALLOW
185.34.169.198/32        10.55.163.141               3495/tcp                ALLOW
149.249.250.129/32       10.55.163.141               3497/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3115/tcp                ALLOW
10.113.97.251/32         10.55.163.141               3115/tcp                ALLOW
131.237.94.132/32        10.55.163.141               3115/tcp                ALLOW
10.31.45.109/32          10.55.163.141               3116/tcp                ALLOW
10.113.97.251/32         10.55.163.141               3117/tcp                ALLOW
10.31.45.109/32          10.55.163.141               3118/tcp                ALLOW
10.113.97.251/32         10.55.163.141               3119/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3215/tcp                ALLOW
10.48.106.250/32         10.55.163.141               3215/tcp                ALLOW
10.113.97.251/32         10.55.163.141               3215/tcp                ALLOW
131.237.94.132/32        10.55.163.141               3215/tcp                ALLOW
0.0.0.0/0                10.55.163.141               3216/tcp                ALLOW
10.113.97.251/32         10.55.163.141               3217/tcp                ALLOW
10.55.7.192/26           10.55.163.141               3178/tcp                ALLOW
10.55.9.192/26           10.55.163.141               3178/tcp                ALLOW
10.55.53.192/26          10.55.163.141               3178/tcp                ALLOW
10.55.63.192/26          10.55.163.141               3178/tcp                ALLOW
10.55.7.192/26           10.55.163.141               3278/tcp                ALLOW
10.55.9.192/26           10.55.163.141               3278/tcp                ALLOW
10.55.53.192/26          10.55.163.141               3278/tcp                ALLOW
10.55.63.192/26          10.55.163.141               3278/tcp                ALLOW
10.55.7.192/26           10.55.163.141               3378/tcp                ALLOW
10.55.9.192/26           10.55.163.141               3378/tcp                ALLOW
10.55.53.192/26          10.55.163.141               3378/tcp                ALLOW
10.55.63.192/26          10.55.163.141               3378/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3190/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3191/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3192/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3193/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3194/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3195/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3196/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3197/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3198/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3199/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3101/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3290/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3291/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3292/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3293/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3294/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3295/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3296/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3297/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3298/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3299/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3201/tcp                ALLOW
10.113.99.139            10.55.163.141               3117/tcp                ALLOW
10.113.99.139            10.55.163.141               3119/tcp                ALLOW
10.113.99.139            10.55.163.141               3217/tcp                ALLOW
10.113.99.139            10.55.163.141               3115/tcp                ALLOW
10.113.99.139            10.55.163.141               3215/tcp                ALLOW

